big_title,sub_title,min_price,max_price,company,origin,car_type,img_src,engine,charger,emission,fuel,fuel_efficiency,occupancy,drive_type,gearshift
2020 혼다 스탭왜건 스파다,1.5 가솔린,28098180.0,28098180.0,혼다,수입,중형,https://imgauto-phinf.pstatic.net/20200110_80/auto_1578629793544FC65L_PNG/20200110131631_HsRk2Kno.png?type=f152_110,I4,자연흡기,"1,498cc",가솔린,CVT13.6km/ℓ ,7,풀타임4륜구동,자동(CVT)
2021 투싼,2.0 디젤 AWD,28470000.0,35670000.0,현대,국산,준중형,https://imgauto-phinf.pstatic.net/20200917_47/auto_1600330962041HjOGz_PNG/20200917172240_ibW48HNh.png?type=f152_110,I4,싱글터보,"1,998cc",디젤,자동13.0~13.3km/ℓ (3등급),5,풀타임4륜구동,자동8단
2021 렉스턴 스포츠 칸,2.2 디젤,28560000.0,36490000.0,쌍용,국산,준대형,https://imgauto-phinf.pstatic.net/20210405_241/auto_1617586138062LWGht_PNG/20210405102840_K3nx2fOI.png?type=f152_110,I4,싱글터보,"2,157cc",디젤,자동10.3km/ℓ (4등급),5,후륜구동,자동6단
2021 투싼 하이브리드,1.6 HEV,28570000.0,34670000.0,현대,국산,준중형,https://imgauto-phinf.pstatic.net/20200917_192/auto_1600330894697Pbzon_PNG/20200917172132_zLSmPi7U.png?type=f152_110,I4,싱글터보,"1,598cc","전기 , 가솔린",자동16.2km/ℓ (하이브리드),5,전륜구동,자동6단
2021 쏘나타 하이브리드,2.0 HEV,28810000.0,36350000.0,현대,국산,중형,https://imgauto-phinf.pstatic.net/20190719_265/auto_1563526819934Vao3a_PNG/20190719180018_LN4zzVKs.png?type=f152_110,I4,자연흡기,"1,999cc","전기 , 가솔린",자동19.1~20.1km/ℓ (하이브리드),5,전륜구동,자동6단
2021 미쓰비시 아웃랜더,2.5 가솔린,28826428.4,28826428.4,미쓰비시,수입,준중형,https://imgauto-phinf.pstatic.net/20210217_27/auto_1613536862101DJh0X_PNG/20210217134055_IlwOX0eE.png?type=f152_110,I4,자연흡기,"2,497cc",가솔린,,7,전륜구동,자동(CVT)
2020 포드 이스케이프,1.5 EcoBoost,29033169.6,29033169.6,포드,수입,준중형,https://imgauto-phinf.pstatic.net/20190412_272/auto_1555049081367hmfnU_PNG/20190412150430_sjxmslP4.png?type=f152_110,I3,싱글터보,"1,497cc",가솔린,,5,"전륜구동,풀타임4륜구동",자동8단
2018 홀덴 아스트라 해치백,1.6 가솔린,29044344.8,32396904.8,홀덴,수입,준중형,https://imgauto-phinf.pstatic.net/20181017_223/auto_1539767855095vjSQY_PNG/20181017181723_9dhIVkZY.png?type=f152_110,l4,싱글터보,"1,598cc",가솔린, ,5,전륜구동,"자동6단,수동6단"
2019 폭스바겐 제타 GLI,2.0 TSI,29049932.4,30167452.4,폭스바겐,수입,준중형,https://imgauto-phinf.pstatic.net/20190212_259/auto_1549935258950Rd4TJ_PNG/20190212103355_C51EIcv0.png?type=f152_110,I4,싱글터보,"1,984cc",가솔린, ,5,전륜구동,"수동6단,자동(DCT)7단"
2020 토요타 타코마,2.7 가솔린,29111396.0,29111396.0,토요타,수입,준대형,https://imgauto-phinf.pstatic.net/20200206_288/auto_1580975190419G0I3i_PNG/20200206164610_7tWZloSb.png?type=f152_110,V6,자연흡기,"2,698cc",가솔린,,5,후륜구동,자동6단
2020 코란도,1.6 디젤 AWD,29150000.0,32450000.0,쌍용,국산,준중형,https://imgauto-phinf.pstatic.net/20201019_128/auto_1603070988808OpO2b_PNG/20201019102947_qIaw4btr.png?type=f152_110,I4,싱글터보,"1,597cc",디젤,"자동13.3km/ℓ (2등급)
 ",5,풀타임4륜구동,자동6단
2020 쏘렌토,2.5 가솔린 터보,29250000.0,38870000.0,기아,국산,중형,https://imgauto-phinf.pstatic.net/20200219_131/auto_1582076762090fYAKv_PNG/20200219104553_PnrMX7UI.png?type=f152_110,I4,싱글터보,"2,497cc",가솔린,DCT10.3~11.0km/ℓ (4등급),5,전륜구동,자동(DCT)8단
2019 쉐보레 이쿼녹스,1.6 디젤,29450000.0,37450000.0,쉐보레,수입,중형,https://imgauto-phinf.pstatic.net/20181102_94/auto_1541144700093Czqlx_PNG/20181102164458_2HOGIZWG.png?type=f152_110,l4,싱글터보,"1,598cc",디젤,자동13.3km/ℓ (3등급),5,전륜구동,자동6단
2021 폭스바겐 제타,1.4 TSI,29490000.0,32850000.0,폭스바겐,수입,준중형,https://imgauto-phinf.pstatic.net/20201015_190/auto_1602750807824xFC4u_PNG/20201015173303_38ATWwxz.png?type=f152_110,I4,싱글터보,"1,395cc",가솔린,토크컨버터13.4km/ℓ (3등급),5,전륜구동,토크컨버터8단
2021 시트로엥 C3 에어크로스,1.5 BlueHDi,29510000.0,32780000.0,시트로엥,수입,소형,https://imgauto-phinf.pstatic.net/20190611_267/auto_1560245531121nN2Bx_PNG/20190611183209_AXUT3uwe.png?type=f152_110,l4,싱글터보,"1,499cc",디젤,자동14.1km/ℓ (2등급),5,전륜구동,자동6단
2020 토요타 야리스 크로스 하이브리드,1.5 HEV,29726032.0,29726032.0,토요타,수입,소형,https://imgauto-phinf.pstatic.net/20200424_125/auto_1587690179908rRUmC_PNG/20200424100252_0rY4vB3h.png?type=f152_110,I4,자연흡기,"1,498cc","전기 , 가솔린",,5,전륜구동,자동
2020 싼타페,2.5 가솔린 터보,29750000.0,38390000.0,현대,국산,중형,https://imgauto-phinf.pstatic.net/20200630_54/auto_1593498503320XioJt_PNG/20200630152822_E5X8UrDI.png?type=f152_110,I4,싱글터보,"2,497cc",가솔린,DCT10.1~10.8km/ℓ (4등급),5,전륜구동,자동(DCT)8단
2020 스바루 아웃백,2.4 F4,29776320.4,29776320.4,스바루,수입,중형,https://imgauto-phinf.pstatic.net/20190425_245/auto_1556171097200AFcAM_PNG/20190425144456_3FKuJsp4.png?type=f152_110,F4,싱글터보,"2,387cc",가솔린,,5,풀타임4륜구동,자동(CVT)
2020 르노 마스터,밴,29990000.0,31990000.0,르노,수입,대형,https://imgauto-phinf.pstatic.net/20200316_194/auto_1584349490230Qe78d_PNG/20200316180448_RtSfRNcp.png?type=f152_110,I4,트윈터보,"2,299cc",디젤,수동10.9~11.1km/ℓ (4등급),9,전륜구동,수동6단
2021 미니 해치백 S,쿠퍼S,30061288.0,30061288.0,미니,수입,소형,https://imgauto-phinf.pstatic.net/20210127_120/auto_1611734911937aMjHk_PNG/20210127170818_JvlLmPRL.png?type=f152_110,I4,싱글터보,"1,998cc",가솔린,,4,전륜구동,자동(DCT)7단
2020 이스즈 D-MAX,3.0 디젤,30161864.8,30161864.8,이스즈,수입,대형,https://imgauto-phinf.pstatic.net/20191014_214/auto_1571019103184HmpNa_PNG/20191014111128_ua58iCmi.png?type=f152_110,V6,싱글터보,"2,999cc",디젤,,5,전륜구동,수동6단
2020 벨로스터 N,2.0 가솔린 터보,30190000.0,34600000.0,현대,국산,준중형,https://imgauto-phinf.pstatic.net/20180620_59/auto_1529467427085A2dq2_PNG/20180620130345_h6GQI0CB.png?type=f152_110,l4,싱글터보,"1,998cc",가솔린,"수동10.5~10.7km/ℓ (4등급)
DCT10.2km/ℓ (4등급)",5,전륜구동,"수동6단,자동(DCT)8단"
2021 쉐보레 말리부,2.0 가솔린 터보,30220000.0,33380000.0,쉐보레,국산,중형,https://imgauto-phinf.pstatic.net/20201020_165/auto_1603177957482jK2Kk_PNG/20201020161235_a6EwSZc6.png?type=f152_110,l4,싱글터보,"1,998cc",가솔린,자동10.5km/ℓ (4등급),5,전륜구동,자동6단
2020 쏘렌토,2.2 디젤,30240000.0,38870000.0,기아,국산,중형,https://imgauto-phinf.pstatic.net/20200219_131/auto_1582076762090fYAKv_PNG/20200219104553_PnrMX7UI.png?type=f152_110,I4,싱글터보,"2,151cc",디젤,DCT14.3km/ℓ (2등급),5,전륜구동,자동(DCT)8단
2020 프로씨드,1.4 가솔린 터보,30355971.8,36513152.5,기아,수입,준중형,https://imgauto-phinf.pstatic.net/20200120_102/auto_15794898060156jqIM_PNG/20200120120943_3WuAR8Ei.png?type=f152_110,I4,싱글터보,"1,353cc",가솔린,"수동7.1ℓ/100km 
DCT6.8ℓ/100km ",5,전륜구동,"수동6단,자동(DCT)7단"
2021 렉스턴 스포츠 칸,2.2 디젤 4WD,30360000.0,38290000.0,쌍용,국산,준대형,https://imgauto-phinf.pstatic.net/20210405_241/auto_1617586138062LWGht_PNG/20210405102840_K3nx2fOI.png?type=f152_110,I4,싱글터보,"2,157cc",디젤,자동10.0km/ℓ (4등급),5,파트타임4륜구동,자동6단
2021 다치아 더스터 픽업,1.5 디젤,30370814.76,30370814.76,다치아,수입,소형,https://imgauto-phinf.pstatic.net/20201022_106/auto_1603335725491DVM1p_PNG/20201022120201_wsaqaF9U.png?type=f152_110,I4,싱글터보,"1,497cc",디젤,수동4.9ℓ/100km ,2,파트타임4륜구동,수동6단
2020 마쯔다 CX-8,2.5 가솔린,30511800.0,30511800.0,마쯔다,수입,준대형,https://imgauto-phinf.pstatic.net/20191025_206/auto_1571964899653ILC2O_PNG/20191025095350_ra4B7jzn.png?type=f152_110,I4,싱글터보,"2,498cc",가솔린,자동12.4km/ℓ ,5,전륜구동,자동6단
2020 혼다 프리드,1.5 HEV,30532500.0,30532500.0,혼다,수입,소형,https://imgauto-phinf.pstatic.net/20200603_291/auto_15911490340514QM3o_PNG/20200603105032_d1xR6oxL.png?type=f152_110,I4,자연흡기,"1,496cc","전기 , 가솔린",자동20.8ℓ/100km (하이브리드),6,전륜구동,자동7단
2020 르노 메간,1.3 TCe,30545328.0,30545328.0,르노,수입,준중형,https://imgauto-phinf.pstatic.net/20201029_102/auto_1603933794710MUPyx_PNG/20201029100951_LdbGngCr.png?type=f152_110,I4,자연흡기,"1,330cc",가솔린,DCT5.6ℓ/100km ,5,전륜구동,자동(DCT)7단
